cargo,circunscripcion,departamento,partido,nombre,votos_esc,votos_pre,votos_partido_original,foto,perfil,participacion_politica,casa_politica,familia_apoyos,formula,sector,apoyo_presidencia_primera,apoyo_presidencia_segunda,observacion_adicional,asesor,corporacion,partido_corto,nombre_titulo,territorio_lectura,grupo_lista_id,votos_lista_grupo,votos_partido_visible,es_lider_lista,tipo_votacion,tiene_foto,foto_path,alerta_voto_individual,alerta_voto_partido,alerta_foto,orden_original
CÁMARA DE REPRESENTANTES,TERRITORIAL,AMAZONAS,COLOMBIA RENACIENTE,ORLANDO RAYO ACOSTA,5598.0,5157.0,12406.0,,Fue elegido Consejero Mayor de la ONIC en 2021,DEPARTAMENTAL- REPRESENTANTE A LA CAMARA - 5157 - 2026,,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL (MAIS) / ORGANIZACION NACIONAL INDIGENA DE COLOMBIA (ONIC),NO TENIA FORMULA DEFINIDA,IZQUIERDA,IVAN CEPEDA,IVAN CEPEDA,,DIEGO,Cámara,COLOMBIA RENACIENTE,Orlando Rayo Acosta,AMAZONAS,Cámara | TERRITORIAL | AMAZONAS | COLOMBIA RENACIENTE,12406.0,12406.0,True,Voto individual reportado,True,assets/fotos/001_orlando_rayo_acosta.png,OK,OK,OK,1
CÁMARA DE REPRESENTANTES,TERRITORIAL,AMAZONAS,PARTIDO LIBERAL COLOMBIANO,MONICA KARINA BOCANEGRA PANTOJA,8726.0,8691.0,10935.0,,ADMINISTRADORA PUBLICA - DIPUTADA DE LA ASAMBLEA DEPARTAMENTAL DEL AMAZONAS 2008 a 2019 - REPRESENTANTE A LA CAMARA 2022 s 2026.,DEPARTAMENTAL - REPRESENTANTE A LA CAMARA- 8691 - 2026,BOCANEGRA,OSCAR SANCHEZ - Gobernador,NO TENIA FORMULA DEFINIDA,IZQUIERDA,IVAN CEPEDA,IVAN CEPEDA,,DIEGO,Cámara,Liberal,Monica Karina Bocanegra Pantoja,AMAZONAS,Cámara | TERRITORIAL | AMAZONAS | PARTIDO LIBERAL COLOMBIANO,10935.0,10935.0,True,Voto individual reportado,True,assets/fotos/002_monica_karina_bocanegra_pantoja.png,OK,OK,OK,2
CÁMARA DE REPRESENTANTES,TERRITORIAL,ANTIOQUIA,CREEMOS,LUIS GUILLERMO PATIO ARISTIZABAL,65683.0,67481.0,275967.0,,"Licenciado en Ciencias Sociales, Educación, Geografía e Historia, profesor, decano, académico, investigador, exsecretario de Educación de Medellín",No Registra,Federico Gutierrez,Federico Gutierrez,Ex diputado Andrés Bedoya,DERECHA,ABELARDO DE LA ESPRIELLA,ABELARDO DE LA ESPRIELLA,,JULIAN,Cámara,CREEMOS,Luis Guillermo Patio Aristizabal,ANTIOQUIA,Cámara | TERRITORIAL | ANTIOQUIA | CREEMOS,275967.0,275967.0,True,Voto individual reportado,True,assets/fotos/003_luis_guillermo_patio_aristizabal.png,OK,OK,OK,3
CÁMARA DE REPRESENTANTES,TERRITORIAL,ANTIOQUIA,CREEMOS,SIMON MOLINA GOMEZ,61879.0,63812.0,,,"Admin. Ambiental. Fue subsecretario de Planeación Ambiental y luego de Servicios Públicos durante la alcaldía de Aníbal Gaviria en Medellín, ex seccretario privado de Federico Gutierrez",Concejal de Medellin 2015 - electo 8.839 votos,Federico Gutierrez,Federico Gutierrez,Juliana Gutierrez Zuluaga,DERECHA,ABELARDO DE LA ESPRIELLA,ABELARDO DE LA ESPRIELLA,,JULIAN,Cámara,CREEMOS,Simon Molina Gomez,ANTIOQUIA,Cámara | TERRITORIAL | ANTIOQUIA | CREEMOS,275967.0,,False,Voto individual reportado,True,assets/fotos/004_simon_molina_gomez.png,OK,OK,OK,4
CÁMARA DE REPRESENTANTES,TERRITORIAL,ANTIOQUIA,PACTO HISTÓRICO,HERNAN MURIEL PEREZ,,,384136.0,,"Comunicador social, periodista digital, ciberactivista. Fundador y actual director del medio alternativo de comunicación Cofradía para el Cambio, Activista.",No Registra,No Registra,Cepeda,Sale en imagenes con Carolina Corcho,IZQUIERDA,IVAN CEPEDA,IVAN CEPEDA,,JULIAN,Cámara,PACTO HISTÓRICO,Hernan Muriel Perez,ANTIOQUIA,Cámara | TERRITORIAL | ANTIOQUIA | PACTO HISTÓRICO,384136.0,384136.0,True,Lista cerrada / sin voto individual,True,assets/fotos/005_hernan_muriel_perez.png,Sin voto individual,OK,OK,5
CÁMARA DE REPRESENTANTES,TERRITORIAL,ANTIOQUIA,PACTO HISTÓRICO,LUZ VERONICA ESTRADA HOLGUIN,,,,,"Ingeniera de minas, con trayectoria académica y experiencia en temas de minería y desarrollo regional en Antioquia. Hizo parte de procesos de organización social de mineros tradicionales.",No Registra,No Registra,Cepeda,No Registra,IZQUIERDA,IVAN CEPEDA,IVAN CEPEDA,tiene una investigacion por una presunta inhabilidad por un contrato en la DIAN,JULIAN,Cámara,PACTO HISTÓRICO,Luz Veronica Estrada Holguin,ANTIOQUIA,Cámara | TERRITORIAL | ANTIOQUIA | PACTO HISTÓRICO,384136.0,,False,Lista cerrada / sin voto individual,True,assets/fotos/006_luz_veronica_estrada_holguin.png,Sin voto individual,OK,OK,6
CÁMARA DE REPRESENTANTES,TERRITORIAL,ANTIOQUIA,PACTO HISTÓRICO,DAVID ALEJANDRO TORO RAMIREZ,,,,,"Admin. Publico con formación en pedagogía y administración, se ha desempeñado como , Defensor de derechos humanos
Gestor social, Conferencista, Activista en temas de víctimas del conflicto armado.",- Camara de Represntantes 2022 - electo por lista cerrada 224.586 votos,No Registra,Daniel Quintero,No Registra,IZQUIERDA,IVAN CEPEDA,IVAN CEPEDA,"Enfrenta cuestionamientos generales por su alianza con Daniel Quintero, principalmente por presuntos conflictos de interés derivados de contratos y pautas publicitarias millonarias adjudicadas por la Alcaldía de Medellín a medios digitales vinculados a su esposa, hermano y allegados",JULIAN,Cámara,PACTO HISTÓRICO,David Alejandro Toro Ramirez,ANTIOQUIA,Cámara | TERRITORIAL | ANTIOQUIA | PACTO HISTÓRICO,384136.0,,False,Lista cerrada / sin voto individual,True,assets/fotos/007_david_alejandro_toro_ramirez.png,Sin voto individual,OK,OK,7
CÁMARA DE REPRESENTANTES,TERRITORIAL,ANTIOQUIA,PARTIDO CAMBIO RADICAL,NATALY VELEZ LOPERA,29262.0,29911.0,115270.0,,"Ingeniera Administradora, Magíster en Gobierno y Políticas Públicas
Especialista en Gerencia Financiera, Docente vinculada a la Secretaría de Educación de Medellín en algunos periodos, Fue la concejal más votada de Medellín en la elección 2019","-Concejo Medellin 2015 - electa - lista cerrada
- Concejo Medellin 2019 - electa 20.002 votos",Independiente,Vargas LLeras,Carlos Fernando Motoa,DERECHA,ABELARDO DE LA ESPRIELLA,ABELARDO DE LA ESPRIELLA,,JULIAN,Cámara,Cambio Radical,Nataly Velez Lopera,ANTIOQUIA,Cámara | TERRITORIAL | ANTIOQUIA | PARTIDO CAMBIO RADICAL,115270.0,115270.0,True,Voto individual reportado,True,assets/fotos/008_nataly_velez_lopera.png,OK,OK,OK,8
CÁMARA DE REPRESENTANTES,TERRITORIAL,ANTIOQUIA,PARTIDO CENTRO DEMOCRÁTICO,ANDRES FELIPE GUERRA HOYOS,112510.0,114340.0,729807.0,,"Comunicador social, fue director de Fomento y Cultura del Politécnico Jaime Isaza Cadavid. En 2002 se convirtió en asesor del ministro de Transporte, Andrés Uriel Gallego. Con los años se ganó la confianza del ministro Gallego y en 2008 pasó a coordinar la oficina para alcaldes de ese ministerio, y luego a convertirse en su enlace en el Congreso.","- Senado 2010 - no electo 35 mil votos
- Diputado 2011 - electo 22 mil votos
- Gobernacion 2015 - no electo 107 mil votos
- Gobernacion 2019 - no electo 661.279 mil votos
- Senado 2022 - electo 67. 761 mil",Alvaro Uribe,Bernardo Guerra Serna,Alvaro Uribe,DERECHA,PALOMA VALENCIA,ABELARDO DE LA ESPRIELLA,,JULIAN,Cámara,Centro Democrático,Andres Felipe Guerra Hoyos,ANTIOQUIA,Cámara | TERRITORIAL | ANTIOQUIA | PARTIDO CENTRO DEMOCRÁTICO,729807.0,729807.0,True,Voto individual reportado,True,assets/fotos/009_andres_felipe_guerra_hoyos.png,OK,OK,OK,9
CÁMARA DE REPRESENTANTES,TERRITORIAL,ANTIOQUIA,PARTIDO CENTRO DEMOCRÁTICO,JOSE GREGORIO ORJUELA PEREZ,92192.0,92590.0,,,"Abogado especialista en Derecho Administrativo y Servicios Públicos, secretario de Gobierno de Rionegro entre 2017 y 2018 Su trayectoria política se ha construido principalmente en el Oriente Antioqueño.","- Concejal Rionegro 2008 – 20112012 – 2015
2016 – 2019.
- Diputado 2019 - electo 22.177 votos.
- Diputado 2023 - electo 22.810 votos.",Andres Rendon,Andres Rendon,Esteban Quintero,DERECHA,PALOMA VALENCIA,ABELARDO DE LA ESPRIELLA,,JULIAN,Cámara,Centro Democrático,Jose Gregorio Orjuela Perez,ANTIOQUIA,Cámara | TERRITORIAL | ANTIOQUIA | PARTIDO CENTRO DEMOCRÁTICO,729807.0,,False,Voto individual reportado,True,assets/fotos/010_jose_gregorio_orjuela_perez.png,OK,OK,OK,10
